event_id,rank,compute_type,start_time_ms,end_time_ms,duration_ms,layer_id,flop_count,tflops,memory_accessed_bytes,pipeline_stage,dp_group,tp_rank
fwd_l7_r16,16,forward,22.945888620366762,26.419781646881116,3.4738930265143555,7,412316860416,0.412316860416,335544320,0,1,0
fwd_l7_r17,17,forward,22.945888620366762,26.419781646881116,3.4738930265143555,7,412316860416,0.412316860416,335544320,0,1,1
fwd_l7_r18,18,forward,22.945888620366762,26.419781646881116,3.4738930265143555,7,412316860416,0.412316860416,335544320,0,1,2
fwd_l7_r19,19,forward,22.945888620366762,26.419781646881116,3.4738930265143555,7,412316860416,0.412316860416,335544320,0,1,3
embed_fwd_l-1_r32,32,embedding,0.0,0.06615610505463389,0.06615610505463389,-1,33554432,3.3554432e-05,136478720,0,2,0
embed_fwd_l-1_r33,33,embedding,0.0,0.06615610505463389,0.06615610505463389,-1,33554432,3.3554432e-05,136478720,0,2,1
embed_fwd_l-1_r34,34,embedding,0.0,0.06615610505463389,0.06615610505463389,-1,33554432,3.3554432e-05,136478720,0,2,2
embed_fwd_l-1_r35,35,embedding,0.0,0.06615610505463389,0.06615610505463389,-1,33554432,3.3554432e-05,136478720,0,2,3
fwd_l0_r32,32,forward,0.06615610505463389,3.500233530786325,3.434077425731691,0,412316860416,0.412316860416,335544320,0,2,0
fwd_l0_r33,33,forward,0.06615610505463389,3.500233530786325,3.434077425731691,0,412316860416,0.412316860416,335544320,0,2,1
fwd_l0_r34,34,forward,0.06615610505463389,3.500233530786325,3.434077425731691,0,412316860416,0.412316860416,335544320,0,2,2
fwd_l0_r35,35,forward,0.06615610505463389,3.500233530786325,3.434077425731691,0,412316860416,0.412316860416,335544320,0,2,3
fwd_l1_r32,32,forward,3.500233530786325,6.743329075589776,3.243095544803451,1,412316860416,0.412316860416,335544320,0,2,0
fwd_l1_r33,33,forward,3.500233530786325,6.743329075589776,3.243095544803451,1,412316860416,0.412316860416,335544320,0,2,1
fwd_l1_r34,34,forward,3.500233530786325,6.743329075589776,3.243095544803451,1,412316860416,0.412316860416,335544320,0,2,2
fwd_l1_r35,35,forward,3.500233530786325,6.743329075589776,3.243095544803451,1,412316860416,0.412316860416,335544320,0,2,3
fwd_l2_r32,32,forward,6.743329075589776,10.119743633974297,3.3764145583845213,2,412316860416,0.412316860416,335544320,0,2,0
fwd_l2_r33,33,forward,6.743329075589776,10.119743633974297,3.3764145583845213,2,412316860416,0.412316860416,335544320,0,2,1
fwd_l2_r34,34,forward,6.743329075589776,10.119743633974297,3.3764145583845213,2,412316860416,0.412316860416,335544320,0,2,2
fwd_l2_r35,35,forward,6.743329075589776,10.119743633974297,3.3764145583845213,2,412316860416,0.412316860416,335544320,0,2,3
fwd_l3_r32,32,forward,10.119743633974297,13.395520119228806,3.2757764852545077,3,412316860416,0.412316860416,335544320,0,2,0
fwd_l3_r33,33,forward,10.119743633974297,13.395520119228806,3.2757764852545077,3,412316860416,0.412316860416,335544320,0,2,1
fwd_l3_r34,34,forward,10.119743633974297,13.395520119228806,3.2757764852545077,3,412316860416,0.412316860416,335544320,0,2,2
fwd_l3_r35,35,forward,10.119743633974297,13.395520119228806,3.2757764852545077,3,412316860416,0.412316860416,335544320,0,2,3
fwd_l4_r32,32,forward,13.395520119228806,16.728215572318714,3.3326954530899093,4,412316860416,0.412316860416,335544320,0,2,0
fwd_l4_r33,33,forward,13.395520119228806,16.728215572318714,3.3326954530899093,4,412316860416,0.412316860416,335544320,0,2,1
fwd_l4_r34,34,forward,13.395520119228806,16.728215572318714,3.3326954530899093,4,412316860416,0.412316860416,335544320,0,2,2
fwd_l4_r35,35,forward,13.395520119228806,16.728215572318714,3.3326954530899093,4,412316860416,0.412316860416,335544320,0,2,3
fwd_l5_r32,32,forward,16.728215572318714,20.071119010239958,3.342903437921242,5,412316860416,0.412316860416,335544320,0,2,0
fwd_l5_r33,33,forward,16.728215572318714,20.071119010239958,3.342903437921242,5,412316860416,0.412316860416,335544320,0,2,1
fwd_l5_r34,34,forward,16.728215572318714,20.071119010239958,3.342903437921242,5,412316860416,0.412316860416,335544320,0,2,2
fwd_l5_r35,35,forward,16.728215572318714,20.071119010239958,3.342903437921242,5,412316860416,0.412316860416,335544320,0,2,3
fwd_l6_r32,32,forward,20.071119010239958,23.434635112481118,3.3635161022411606,6,412316860416,0.412316860416,335544320,0,2,0
fwd_l6_r33,33,forward,20.071119010239958,23.434635112481118,3.3635161022411606,6,412316860416,0.412316860416,335544320,0,2,1
fwd_l6_r34,34,forward,20.071119010239958,23.434635112481118,3.3635161022411606,6,412316860416,0.412316860416,335544320,0,2,2
fwd_l6_r35,35,forward,20.071119010239958,23.434635112481118,3.3635161022411606,6,412316860416,0.412316860416,335544320,0,2,3
